PRODUCT,MONTHS,DAYS
Series of 5 Semi Private Appointments,6.0,
5  Mat Classes - At home,6.0,
1st Payment (Staff Discount) - PTT,,1.0
1st Payment (10% off) - PTT,,1.0
Final Payment (10% off) - PTT,,1.0
Series of 20 Master Trainer Privates,6.0,
Master Instructor - Series of 10 Semi-Privates,6.0,
Series of 10 Semi-Privates with Master Trainer,6.0,
Group Class Buyout - Private Class,1.0,
1-Time Special Offer:  4 Classes for $75,2.0,
" Ready Set Spring - 8 classes for $240 (WW/SM only, limit 3)",6.0,
Single Apprentice Session,6.0,
Master Instructor - Series of 5  Semi-Privates,6.0,
New Private Client Special: 3 Privates for $225,2.0,
MMP Popup,1.0,
Specialty Class,1.0,
Series of 5 Semi-Private Appointments,6.0,
Master Instructor,6.0,
Group Class Buyout - Event,1.0,
Apprentice - Series of 5 Privates,6.0,
Mini Mighty Monthly (5 classes),1.0,
Mighty Staff Private Rental,1.0,
Love Your Practice - 20 Master Privates,6.0,
Bloom In Strength Flash Sale - 8 classes of $280,6.0,
Staff Classes,1.0,
MMP Master 8 Private Pass,1.0,
Master Instructor - Single Semi-Private,6.0,
Master Instructor - Single Semi Private Session,6.0,
MMP Pop Up,1.0,
Non-MMP Member,1.0,
5 Mat Pilates - At home,6.0,
Final Payment,,1.0
PTT Books,,1.0
Master Instructor - Single Private Session,6.0,
Work Hard Play Hard: 1 Room (Prime),6.0,
1st  Payment (10% off) - PTT,,1.0
Private Class Buyout,,1.0
5 Mat Pilates - At Home,6.0,
Private Room Rental,6.0,
Series of 5 Livestream Classes,6.0,
Donation Class,1.0,
Welcome Back Offer: 5 classes for $99 (2 months),2.0,
1  Mat Class - At home,6.0,
MMP Pop UP,1.0,
Next Stop: Ocean Park! - 3 Classes for $73,1.0,
Single Semi-Private with Master Trainer,6.0,
Mighty Workshop,1.0,
Series of 10 Trio Privates,6.0,
Master Instructor - Single Private Session ,6.0,
Non MMP client sign up,1.0,
Apprentice Session,6.0,
Mighty Staff Private Duo Rental,6.0,
Non-MMP Pop Up Sign Up,1.0,
Mighty Mixer: 1 Room (Prime),6.0,
Single Livestream Class,6.0,
Non-Member,6.0,
Master Instructor - Series of 5 Semi-Privates,6.0,
Master Instructor - 5 Sessions,6.0,
PTT Make-up Workshop,,1.0
PTT Make-up workshop,,1.0
Mighty Mixer: 1 Room (Non Prime),1.0,
Non-MMP Members,1.0,
Teacher Training Make Up,,1.0
Apprentice Duet,6.0,
Single Semi Private Appointment ,6.0,
8 Machine Classes,1.0,
Non-MMP Mmeber,1.0,
Series of 5 Semi-Privates with Master Trainer,6.0,
Master Instructor - 5 Semi Privates,6.0,
Apprentice Private 5 Pack,6.0,
Non-MMP Member Pop-Up,1.0,
6 Week Series-Man Up Pilates Build Strength,6.0,
Mighty Staff Duo Rental,6.0,
Early Bird Deposit,,1.0
Trio Private,6.0,
Trio Private Appointment,6.0,
Live Stream Pilates Private,6.0,
Single Apprentice Session ,6.0,
1 Mat Pilates - At Home Class,6.0,
Make Up Session - PTT,,1.0
6 Week Series,6.0,
Single Semi-Private Appointment ,6.0,
Voyager Pass,,10.0
MMP Member Pop Up,,1.0
MMP member Pop Up,,1.0
MMP Workshop,,1.0
PTT Make Up,,1.0
Unlimited Livestream (PTT students only),1.0,
New Client Special: 5 for $99 (valid for 1 month) Copy,1.0,
1 Mat Pilates - At home,6.0,
Donation Class,,1.0
Apprentice Duet,6.0,
Private Rental Marin,1.0,
Pilates and Sound Bath,1.0,
Trio,6.0,
New Staff 10 machine classes,6.0,
Private Rental,6.0,
1 Mat Class - At home,6.0,
Yelp Google Review Class,1.0,
MMP Member Birthday Class,1.0,
Soul Cycle Marin Staff Classes,1.0,
MMP Members,1.0,
(Existing MMP only)  Unlimited Mat At Home Mat Classes,1.0,
Feedback Class,1.0,
Private Room Rental PTT,6.0,
Post Baby Strength & Pelvic Floor Connection (4 we,6.0,
MMP Pop-Up,1.0,
Gympass,,15.0
Friends On The Frontlines - 2 Weeks of FREE Pilates,6.0,
MMP Unlimited Mat Pilates - At Home,1.0,
Mighty Loyal Class,1.0,
MMP Guest Pass,1.0,
